"id"	"building"	"creator"	"gmt_created"	"modifier"	"gmt_modified"	"is_deleted"
"1"	"3.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"2"	"2.3"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"3"	"2.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"4"	"1.3"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"5"	"1.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"6"	"1.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"7"	"2.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"8"	"6.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"9"	"6.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"10"	"4.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"11"	"4.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"12"	"4.3"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"13"	"4.4.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"14"	"4.4.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"15"	"4.4.3"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"16"	"4.5.1"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"17"	"4.5.2"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"18"	"4.5.3"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"19"	"4.5.4"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"20"	"园内"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
"21"	"出局"	"admin"	"2018/8/30 15:23:20"	"2018/8/30 15:23:21"	"2018/8/30 15:23:20"	"0"
