"id"	"room"	"description"	"creator"	"gmt_created"	"modifier"	"gmt_modified"	"is_deleted"	"building_info_id"
"1"	"101"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"2"	"102"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"3"	"103"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"4"	"104"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"5"	"201"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"6"	"202"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"7"	"203"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"8"	"204"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"9"	"205"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"10"	"206"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"11"	"207"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"12"	"208"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"13"	"301"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"14"	"302"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"15"	"303"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
"16"	"304"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"1"
